id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,popularity,release_decade,mood_tags,instrumentalness,liveness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18,85,2020s,uplifting|euphoric,0.05,0.12
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71,62,2020s,mellow|dreamy,0.80,0.08
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10,74,2010s,aggressive|powerful,0.30,0.65
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86,58,2020s,peaceful|dreamy,0.85,0.05
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05,91,2020s,aggressive|euphoric,0.10,0.35
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92,45,2010s,peaceful|ethereal,0.92,0.04
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89,52,2000s,warm|nostalgic,0.40,0.15
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22,70,2020s,brooding|ethereal,0.60,0.10
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78,65,2020s,mellow|focused,0.88,0.06
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35,68,2020s,uplifting|warm,0.15,0.20
11,Bass Cathedral,DJ Vertigo,edm,energetic,0.95,140,0.72,0.93,0.03,88,2020s,euphoric|aggressive,0.70,0.55
12,Lonely Highway,Dusty Strings,country,melancholy,0.45,96,0.38,0.47,0.82,40,2000s,bittersweet|nostalgic,0.10,0.18
13,Rage Circuit,Iron Veil,metal,intense,0.97,170,0.30,0.55,0.05,72,2010s,aggressive|powerful,0.25,0.78
14,Velvet Daydream,Luna Haze,r&b,romantic,0.55,88,0.78,0.72,0.40,76,2020s,sensual|warm,0.08,0.12
15,Autumn Letters,Paper Lanterns,folk,nostalgic,0.33,82,0.62,0.42,0.91,38,2010s,bittersweet|peaceful,0.20,0.10
16,Neon Bounce,Max Pulse,edm,happy,0.88,128,0.85,0.91,0.08,82,2020s,euphoric|uplifting,0.55,0.42
17,Ghost Frequencies,Orbit Bloom,ambient,moody,0.22,55,0.35,0.30,0.95,32,2010s,brooding|ethereal,0.95,0.03
18,Salsa del Sol,Ritmo Vivo,latin,energetic,0.87,136,0.90,0.95,0.15,79,2020s,euphoric|warm,0.12,0.70
19,Blue Note Cafe,Slow Stereo,jazz,relaxed,0.40,76,0.68,0.50,0.88,48,1990s,warm|mellow,0.45,0.22
20,Digital Fury,Voltline,rock,intense,0.94,160,0.42,0.70,0.07,77,2020s,aggressive|powerful,0.35,0.72
